ProductName,CompanyName,BrandName,PrimaryCategory,SubCategory,ChemicalName,InitialDateReported,DiscontinuedDate,ChemicalCreatedAt,Carcinogenesis ,Skin dangers(0-5)
Body Lotion SPF-25,"Sunrider Manufacturing, L.P.",Oi-Lin,Skin Care  ,Skin Moisturizers,Titanium dioxide,09-02-2009,01-01-2010,09-02-2009,1,1
Body Lotion SPF-25,"Sunrider Manufacturing, L.P.",Oi-Lin,Sun-Related ,Sunscreen ,Titanium dioxide,09-02-2009,01-01-2010,09-02-2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Babes Lip Tint,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Big & Healthy Full Color Lip Polish,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Big & Healthy Full Color Lip Polish,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Big & Healthy Full Color Lip Polish,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
Buxom Big & Healthy Full Color Lip Polish,"Bare Escentuals Beauty, Inc.",BUXOM,Makeup,Lip Gloss/Shine,Titanium dioxide,09/16/2009,04/26/2016,09/16/2009,1,1
